school_name,borough,building_code,average_math,average_reading,average_writing,percent_tested
Law School for of Bronx - Campus 609,Bronx,X491,706.0,547.0,749.0,65.0
Science High School of Brooklyn - Campus 610,Brooklyn,K054,618.0,542.0,712.0,
The Brooklyn Preparatory Academy for Medicine (Bldg 611),Brooklyn,K298,468.0,409.0,483.0,51.6
Leadership School for of Queens - Campus 612,Queens,Q878,768.0,641.0,608.0,
The Brooklyn Academy for Science (Bldg 613),Brooklyn,K727,746.0,628.0,620.0,79.1
Leadership School for of Queens - Campus 614,Queens,Q918,559.0,520.0,727.0,88.2
The Manhattan School for for Arts (Bldg 615),Manhattan,M998,573.0,,370.0,76.6
The Staten Island High School for Humanities (Bldg 616),Staten Island,R721,353.0,540.0,651.0,59.3
The Manhattan Institute of Technology for Technology (Bldg 617),Manhattan,M315,582.0,476.0,432.0,82.0
The Manhattan High School for Medicine (Bldg 618),Manhattan,M852,441.0,515.0,515.0,57.7
The Staten Island High School for Science (Bldg 619),Staten Island,R805,658.0,456.0,602.0,64.8
Law Preparatory Academy of Bronx - Campus 620,Bronx,X512,365.0,587.0,406.0,42.9
The Queens High School for Humanities (Bldg 621),Queens,Q892,770.0,597.0,484.0,63.6
Business High School of Manhattan - Campus 622,Manhattan,M058,746.0,738.0,558.0,63.3
Business High School of Queens - Campus 623,Queens,Q545,546.0,685.0,657.0,55.9
The Bronx High School for Leadership (Bldg 624),Bronx,X333,574.0,523.0,526.0,91.7
The Queens Preparatory Academy for Technology (Bldg 625),Queens,Q301,416.0,554.0,539.0,
Humanities Academy of Brooklyn - Campus 626,Brooklyn,K228,632.0,583.0,362.0,63.7
Science Preparatory Academy of Staten Island - Campus 627,Staten Island,R307,645.0,665.0,641.0,72.3
Science Institute of Technology of Manhattan - Campus 628,Manhattan,M347,,,,64.6
The Brooklyn Collegiate for Humanities (Bldg 629),Brooklyn,K561,587.0,686.0,393.0,91.3
Science High School of Staten Island - Campus 630,Staten Island,R839,397.0,483.0,382.0,72.9
Science School for of Manhattan - Campus 631,Manhattan,M106,456.0,675.0,640.0,73.6
The Staten Island Academy for Arts (Bldg 632),Staten Island,R534,710.0,509.0,671.0,86.1
Arts Preparatory Academy of Bronx - Campus 633,Bronx,X820,576.0,461.0,697.0,74.9
The Queens Preparatory Academy for Medicine (Bldg 634),Queens,Q726,463.0,679.0,442.0,49.2
Law School for of Manhattan - Campus 635,Manhattan,M896,721.0,735.0,574.0,90.2
Medicine Academy of Manhattan - Campus 636,Manhattan,M055,738.0,379.0,728.0,98.5
The Manhattan High School for Mathematics (Bldg 637),Manhattan,M122,582.0,529.0,,87.3
The Bronx Academy for Leadership (Bldg 638),Bronx,X522,371.0,396.0,650.0,76.0
The Brooklyn Collegiate for Medicine (Bldg 639),Brooklyn,K293,654.0,741.0,554.0,62.5
Business Institute of Technology of Brooklyn - Campus 640,Brooklyn,K899,523.0,577.0,666.0,48.2
The Queens Collegiate for Science (Bldg 641),Queens,Q984,653.0,657.0,621.0,61.7
The Staten Island Academy for Science (Bldg 642),Staten Island,R207,,752.0,645.0,75.2
The Brooklyn Collegiate for Humanities (Bldg 643),Brooklyn,K603,523.0,552.0,527.0,
The Queens Institute of Technology for Humanities (Bldg 644),Queens,Q120,486.0,702.0,683.0,76.3
Business Institute of Technology of Manhattan - Campus 645,Manhattan,M652,762.0,536.0,693.0,82.0
The Staten Island Academy for Medicine (Bldg 646),Staten Island,R198,594.0,497.0,,40.8
Mathematics Collegiate of Manhattan - Campus 647,Manhattan,M524,486.0,648.0,680.0,68.0
The Manhattan High School for Technology (Bldg 648),Manhattan,M972,663.0,666.0,447.0,58.4
The Manhattan Academy for Arts (Bldg 649),Manhattan,M862,508.0,701.0,689.0,43.5
The Manhattan Academy for Arts (Bldg 650),Manhattan,M725,454.0,614.0,412.0,55.1
Humanities Preparatory Academy of Queens - Campus 651,Queens,Q908,357.0,759.0,734.0,
The Bronx School for for Medicine (Bldg 652),Bronx,X054,433.0,455.0,581.0,84.9
The Manhattan Collegiate for Mathematics (Bldg 653),Manhattan,M088,525.0,473.0,685.0,63.8
Technology School for of Brooklyn - Campus 654,Brooklyn,K516,494.0,392.0,741.0,98.4
Law High School of Bronx - Campus 655,Bronx,X407,429.0,375.0,427.0,57.4
Global Studies High School of Bronx - Campus 656,Bronx,X631,,512.0,443.0,40.8
The Brooklyn Collegiate for Leadership (Bldg 657),Brooklyn,K029,712.0,755.0,410.0,58.2
Leadership Institute of Technology of Brooklyn - Campus 658,Brooklyn,K462,439.0,725.0,,75.2
The Bronx Collegiate for Mathematics (Bldg 659),Bronx,X786,775.0,646.0,430.0,87.4
The Bronx Preparatory Academy for Mathematics (Bldg 660),Bronx,X943,521.0,475.0,599.0,78.2
Technology Institute of Technology of Staten Island - Campus 661,Staten Island,R348,513.0,527.0,650.0,82.9
Global Studies Collegiate of Manhattan - Campus 662,Manhattan,M952,660.0,389.0,638.0,59.6
The Brooklyn Preparatory Academy for Leadership (Bldg 663),Brooklyn,K815,588.0,405.0,676.0,90.6
Mathematics School for of Bronx - Campus 664,Bronx,X893,358.0,448.0,702.0,
The Manhattan High School for Business (Bldg 665),Manhattan,M920,455.0,392.0,551.0,90.9
The Bronx High School for Arts (Bldg 666),Bronx,X991,,630.0,440.0,72.9
The Bronx School for for Global Studies (Bldg 667),Bronx,X448,506.0,391.0,498.0,54.8
The Staten Island Academy for Science (Bldg 668),Staten Island,R444,729.0,601.0,587.0,69.6
Science Collegiate of Manhattan - Campus 669,Manhattan,M405,608.0,622.0,499.0,74.8
The Staten Island Academy for Science (Bldg 670),Staten Island,R116,,515.0,372.0,95.6
The Staten Island Collegiate for Mathematics (Bldg 671),Staten Island,R472,399.0,456.0,504.0,83.5
The Manhattan Institute of Technology for Business (Bldg 672),Manhattan,M251,455.0,709.0,638.0,97.8
The Bronx Preparatory Academy for Global Studies (Bldg 673),Bronx,X360,619.0,553.0,412.0,44.6
The Staten Island Preparatory Academy for Technology (Bldg 674),Staten Island,R239,384.0,605.0,422.0,47.7
Technology Collegiate of Brooklyn - Campus 675,Brooklyn,K464,473.0,695.0,500.0,41.2
The Manhattan Preparatory Academy for Medicine (Bldg 676),Manhattan,M268,521.0,409.0,368.0,48.1
The Manhattan School for for Technology (Bldg 677),Manhattan,M017,476.0,530.0,720.0,56.9
Leadership School for of Brooklyn - Campus 678,Brooklyn,K484,416.0,636.0,568.0,44.3
Medicine High School of Manhattan - Campus 679,Manhattan,M588,383.0,613.0,509.0,68.4
The Queens Institute of Technology for Leadership (Bldg 680),Queens,Q462,,609.0,575.0,79.8
Mathematics Collegiate of Bronx - Campus 681,Bronx,X239,,518.0,425.0,94.2
Technology Collegiate of Bronx - Campus 682,Bronx,X996,699.0,733.0,590.0,87.2
The Staten Island Institute of Technology for Leadership (Bldg 683),Staten Island,R091,483.0,715.0,596.0,58.8
Law Preparatory Academy of Brooklyn - Campus 684,Brooklyn,K363,435.0,524.0,353.0,56.3
The Brooklyn Preparatory Academy for Medicine (Bldg 685),Brooklyn,K366,419.0,756.0,378.0,56.9
Law Preparatory Academy of Brooklyn - Campus 686,Brooklyn,K689,603.0,407.0,666.0,65.1
Mathematics Preparatory Academy of Staten Island - Campus 687,Staten Island,R129,640.0,677.0,655.0,90.0
Global Studies High School of Bronx - Campus 688,Bronx,X043,738.0,714.0,634.0,65.7
The Queens Institute of Technology for Business (Bldg 689),Queens,Q757,415.0,618.0,714.0,53.7
Humanities Preparatory Academy of Manhattan - Campus 690,Manhattan,M323,486.0,381.0,555.0,
The Brooklyn School for for Law (Bldg 691),Brooklyn,K469,558.0,503.0,711.0,
The Brooklyn Preparatory Academy for Global Studies (Bldg 692),Brooklyn,K745,514.0,572.0,650.0,97.4
Mathematics School for of Queens - Campus 693,Queens,Q715,584.0,665.0,466.0,64.8
The Manhattan Preparatory Academy for Business (Bldg 694),Manhattan,M725,744.0,360.0,625.0,57.3
Law School for of Staten Island - Campus 695,Staten Island,R581,473.0,521.0,473.0,92.6
Science School for of Queens - Campus 696,Queens,Q617,650.0,509.0,378.0,67.3
Arts School for of Bronx - Campus 697,Bronx,X121,541.0,376.0,660.0,76.7
Global Studies Preparatory Academy of Queens - Campus 698,Queens,Q414,640.0,599.0,458.0,78.1
The Brooklyn Preparatory Academy for Leadership (Bldg 699),Brooklyn,K228,776.0,560.0,537.0,90.1
The Manhattan High School for Global Studies (Bldg 700),Manhattan,M187,,412.0,733.0,67.1
The Queens Institute of Technology for Science (Bldg 701),Queens,Q916,494.0,755.0,544.0,44.3
The Bronx Preparatory Academy for Law (Bldg 702),Bronx,X985,534.0,636.0,371.0,89.7
Science Preparatory Academy of Bronx - Campus 703,Bronx,X362,716.0,512.0,651.0,87.2
Mathematics High School of Brooklyn - Campus 704,Brooklyn,K274,421.0,612.0,411.0,52.0
Arts High School of Queens - Campus 705,Queens,Q994,454.0,594.0,426.0,47.3
The Bronx School for for Business (Bldg 706),Bronx,X700,743.0,464.0,656.0,64.3
Leadership School for of Queens - Campus 707,Queens,Q337,582.0,753.0,653.0,82.6
Science School for of Queens - Campus 708,Queens,Q773,454.0,421.0,427.0,42.3
Global Studies School for of Queens - Campus 709,Queens,Q738,726.0,694.0,415.0,
Medicine Institute of Technology of Bronx - Campus 710,Bronx,X472,,635.0,550.0,45.2
The Brooklyn Preparatory Academy for Law (Bldg 711),Brooklyn,K836,454.0,506.0,677.0,58.0
Medicine High School of Staten Island - Campus 712,Staten Island,R665,,573.0,714.0,83.3
Global Studies Preparatory Academy of Brooklyn - Campus 713,Brooklyn,K148,421.0,361.0,444.0,88.4
Technology Academy of Staten Island - Campus 714,Staten Island,R302,450.0,373.0,404.0,70.8
Technology Academy of Manhattan - Campus 715,Manhattan,M809,,565.0,577.0,40.6
Science Academy of Manhattan - Campus 716,Manhattan,M375,588.0,629.0,379.0,86.7
Mathematics Academy of Queens - Campus 717,Queens,Q026,450.0,634.0,625.0,71.7
The Queens Preparatory Academy for Humanities (Bldg 718),Queens,Q549,378.0,594.0,724.0,72.2
Business Academy of Bronx - Campus 719,Bronx,X699,741.0,469.0,406.0,86.9
Medicine Collegiate of Staten Island - Campus 720,Staten Island,R751,754.0,502.0,672.0,46.3
The Bronx High School for Humanities (Bldg 721),Bronx,X880,630.0,443.0,660.0,84.7
Technology School for of Queens - Campus 722,Queens,Q672,632.0,608.0,701.0,57.6
The Manhattan Collegiate for Technology (Bldg 723),Manhattan,M491,613.0,639.0,396.0,79.6
The Brooklyn Academy for Science (Bldg 724),Brooklyn,K540,527.0,369.0,726.0,55.6
The Staten Island Preparatory Academy for Global Studies (Bldg 725),Staten Island,R273,539.0,370.0,472.0,98.8
Medicine School for of Staten Island - Campus 726,Staten Island,R110,622.0,,682.0,69.6
Business Institute of Technology of Brooklyn - Campus 727,Brooklyn,K808,741.0,458.0,456.0,62.6
Arts School for of Staten Island - Campus 728,Staten Island,R555,481.0,440.0,355.0,80.4
The Bronx High School for Leadership (Bldg 729),Bronx,X862,656.0,693.0,733.0,41.6
The Bronx High School for Leadership (Bldg 730),Bronx,X827,461.0,558.0,388.0,56.5
The Staten Island High School for Mathematics (Bldg 731),Staten Island,R460,353.0,593.0,360.0,53.0
The Bronx Academy for Medicine (Bldg 732),Bronx,X889,657.0,467.0,,73.0
Global Studies High School of Manhattan - Campus 733,Manhattan,M565,398.0,665.0,743.0,87.9
Medicine Institute of Technology of Brooklyn - Campus 734,Brooklyn,K755,602.0,448.0,466.0,71.4
The Staten Island Academy for Humanities (Bldg 735),Staten Island,R137,498.0,710.0,676.0,71.3
The Bronx Academy for Humanities (Bldg 736),Bronx,X938,656.0,576.0,708.0,
The Brooklyn Institute of Technology for Global Studies (Bldg 737),Brooklyn,K922,570.0,659.0,411.0,60.8
The Brooklyn Institute of Technology for Medicine (Bldg 738),Brooklyn,K651,362.0,526.0,575.0,82.7
The Queens School for for Medicine (Bldg 739),Queens,Q227,768.0,383.0,618.0,
Medicine Preparatory Academy of Bronx - Campus 740,Bronx,X013,751.0,566.0,,59.6
The Queens Preparatory Academy for Mathematics (Bldg 741),Queens,Q651,733.0,731.0,359.0,54.2
The Bronx School for for Medicine (Bldg 742),Bronx,X258,446.0,532.0,695.0,46.8
The Bronx Academy for Business (Bldg 743),Bronx,X290,643.0,756.0,626.0,79.1
The Manhattan High School for Humanities (Bldg 744),Manhattan,M485,411.0,515.0,673.0,59.3
Science School for of Staten Island - Campus 745,Staten Island,R125,423.0,383.0,545.0,
The Manhattan High School for Business (Bldg 746),Manhattan,M994,372.0,571.0,543.0,76.1
Science School for of Brooklyn - Campus 747,Brooklyn,K610,576.0,,352.0,45.9
Technology High School of Queens - Campus 748,Queens,Q421,445.0,538.0,391.0,89.5
Law High School of Queens - Campus 749,Queens,Q250,395.0,705.0,526.0,77.8
The Bronx Collegiate for Business (Bldg 750),Bronx,X449,355.0,695.0,357.0,84.6
Medicine School for of Manhattan - Campus 751,Manhattan,M533,401.0,754.0,578.0,
The Bronx Institute of Technology for Leadership (Bldg 752),Bronx,X048,350.0,470.0,456.0,60.1
Law Institute of Technology of Bronx - Campus 753,Bronx,X902,692.0,671.0,715.0,80.5
The Staten Island Collegiate for Science (Bldg 754),Staten Island,R545,709.0,439.0,556.0,88.1
The Manhattan Preparatory Academy for Science (Bldg 755),Manhattan,M164,438.0,495.0,391.0,79.6
Leadership Institute of Technology of Staten Island - Campus 756,Staten Island,R171,587.0,362.0,498.0,58.4
The Staten Island High School for Humanities (Bldg 757),Staten Island,R926,729.0,712.0,449.0,92.9
The Brooklyn School for for Humanities (Bldg 758),Brooklyn,K236,535.0,642.0,511.0,97.0
Mathematics Academy of Manhattan - Campus 759,Manhattan,M083,765.0,688.0,592.0,63.5
The Brooklyn Preparatory Academy for Law (Bldg 760),Brooklyn,K680,728.0,435.0,509.0,60.1
Global Studies High School of Manhattan - Campus 761,Manhattan,M865,488.0,550.0,568.0,76.6
Medicine Institute of Technology of Manhattan - Campus 762,Manhattan,M978,771.0,737.0,353.0,85.4
Business Preparatory Academy of Manhattan - Campus 763,Manhattan,M751,686.0,691.0,722.0,51.4
Technology Academy of Manhattan - Campus 764,Manhattan,M018,775.0,572.0,411.0,47.8
The Bronx Collegiate for Global Studies (Bldg 765),Bronx,X551,517.0,735.0,437.0,88.3
Business School for of Staten Island - Campus 766,Staten Island,R620,571.0,688.0,643.0,
The Queens Institute of Technology for Medicine (Bldg 767),Queens,Q817,611.0,553.0,730.0,71.7
Humanities Academy of Brooklyn - Campus 768,Brooklyn,K277,417.0,672.0,582.0,
Law Institute of Technology of Manhattan - Campus 769,Manhattan,M115,728.0,365.0,376.0,42.5
Arts Preparatory Academy of Queens - Campus 770,Queens,Q651,671.0,750.0,719.0,96.7
The Staten Island Preparatory Academy for Medicine (Bldg 771),Staten Island,R396,675.0,478.0,,88.3
The Queens Collegiate for Leadership (Bldg 772),Queens,Q809,535.0,570.0,,53.3
The Staten Island Institute of Technology for Leadership (Bldg 773),Staten Island,R964,565.0,592.0,713.0,94.1
Technology High School of Queens - Campus 774,Queens,Q134,720.0,428.0,674.0,41.0
The Manhattan Academy for Mathematics (Bldg 775),Manhattan,M972,,393.0,430.0,55.8
The Brooklyn School for for Science (Bldg 776),Brooklyn,K831,686.0,608.0,586.0,49.0
The Brooklyn Institute of Technology for Business (Bldg 777),Brooklyn,K763,544.0,502.0,546.0,72.6
The Staten Island High School for Global Studies (Bldg 778),Staten Island,R807,481.0,498.0,386.0,
Technology Institute of Technology of Brooklyn - Campus 779,Brooklyn,K503,639.0,,507.0,56.6
Mathematics Academy of Manhattan - Campus 780,Manhattan,M650,636.0,581.0,682.0,95.4
The Bronx Academy for Law (Bldg 781),Bronx,X964,618.0,672.0,522.0,81.2
Arts Collegiate of Queens - Campus 782,Queens,Q338,432.0,473.0,723.0,71.4
Humanities Collegiate of Queens - Campus 783,Queens,Q477,606.0,721.0,540.0,62.3
Law Academy of Brooklyn - Campus 784,Brooklyn,K258,450.0,368.0,374.0,90.8
The Queens Institute of Technology for Technology (Bldg 785),Queens,Q266,665.0,624.0,,71.7
Technology High School of Manhattan - Campus 786,Manhattan,M184,780.0,480.0,546.0,57.4
The Brooklyn Institute of Technology for Technology (Bldg 787),Brooklyn,K686,563.0,686.0,367.0,56.0
Leadership High School of Manhattan - Campus 788,Manhattan,M026,444.0,453.0,723.0,75.8
Science Preparatory Academy of Staten Island - Campus 789,Staten Island,R400,778.0,642.0,687.0,86.8
Arts Collegiate of Queens - Campus 790,Queens,Q372,374.0,467.0,446.0,89.5
The Staten Island Institute of Technology for Humanities (Bldg 791),Staten Island,R424,560.0,442.0,454.0,61.6
Mathematics Institute of Technology of Brooklyn - Campus 792,Brooklyn,K259,636.0,490.0,669.0,82.5
Science Institute of Technology of Queens - Campus 793,Queens,Q114,391.0,398.0,492.0,94.1
Leadership Academy of Manhattan - Campus 794,Manhattan,M039,771.0,721.0,,77.6
The Bronx School for for Humanities (Bldg 795),Bronx,X340,533.0,759.0,712.0,51.1
The Staten Island Collegiate for Law (Bldg 796),Staten Island,R150,574.0,677.0,454.0,82.2
Humanities School for of Manhattan - Campus 797,Manhattan,M496,445.0,708.0,438.0,98.2
The Bronx High School for Law (Bldg 798),Bronx,X683,511.0,664.0,656.0,71.5
Mathematics Academy of Staten Island - Campus 799,Staten Island,R760,575.0,574.0,355.0,47.5
Global Studies School for of Manhattan - Campus 800,Manhattan,M409,772.0,369.0,388.0,89.2
The Queens Collegiate for Mathematics (Bldg 801),Queens,Q582,666.0,710.0,469.0,68.9
Law School for of Queens - Campus 802,Queens,Q689,716.0,688.0,448.0,93.5
Leadership Academy of Brooklyn - Campus 803,Brooklyn,K977,351.0,472.0,598.0,78.3
The Staten Island School for for Leadership (Bldg 804),Staten Island,R977,726.0,375.0,605.0,92.9
Mathematics Institute of Technology of Manhattan - Campus 805,Manhattan,M601,578.0,365.0,686.0,
Science Institute of Technology of Bronx - Campus 806,Bronx,X745,,373.0,448.0,76.6
The Manhattan High School for Science (Bldg 807),Manhattan,M733,426.0,660.0,738.0,50.7
Mathematics Preparatory Academy of Brooklyn - Campus 808,Brooklyn,K356,572.0,383.0,670.0,93.6
The Brooklyn School for for Technology (Bldg 809),Brooklyn,K265,383.0,385.0,687.0,50.0
The Manhattan High School for Mathematics (Bldg 810),Manhattan,M561,725.0,621.0,542.0,87.7
Business Preparatory Academy of Staten Island - Campus 811,Staten Island,R627,393.0,424.0,740.0,84.8
The Queens School for for Law (Bldg 812),Queens,Q234,694.0,471.0,692.0,44.3
Mathematics Collegiate of Manhattan - Campus 813,Manhattan,M830,405.0,626.0,496.0,79.6
Technology Collegiate of Bronx - Campus 814,Bronx,X909,611.0,564.0,695.0,78.3
Mathematics School for of Queens - Campus 815,Queens,Q347,518.0,653.0,606.0,52.1
The Queens School for for Technology (Bldg 816),Queens,Q424,392.0,613.0,453.0,94.0
Law School for of Staten Island - Campus 817,Staten Island,R654,758.0,720.0,579.0,49.0
The Brooklyn High School for Humanities (Bldg 818),Brooklyn,K573,374.0,511.0,704.0,62.5
Global Studies High School of Bronx - Campus 819,Bronx,X450,642.0,604.0,598.0,45.5
The Manhattan Institute of Technology for Technology (Bldg 820),Manhattan,M528,576.0,566.0,397.0,70.7
The Brooklyn School for for Leadership (Bldg 821),Brooklyn,K839,595.0,543.0,485.0,90.1
The Staten Island Preparatory Academy for Humanities (Bldg 822),Staten Island,R615,438.0,613.0,386.0,69.8
Mathematics School for of Brooklyn - Campus 823,Brooklyn,K836,628.0,711.0,547.0,88.4
Leadership School for of Queens - Campus 824,Queens,Q811,569.0,547.0,376.0,94.2
Business Collegiate of Bronx - Campus 825,Bronx,X244,507.0,666.0,662.0,82.7
The Manhattan High School for Science (Bldg 826),Manhattan,M479,569.0,380.0,670.0,78.3
Business High School of Manhattan - Campus 827,Manhattan,M373,508.0,661.0,386.0,83.4
Leadership School for of Brooklyn - Campus 828,Brooklyn,K704,729.0,573.0,637.0,89.2
Global Studies Institute of Technology of Staten Island - Campus 829,Staten Island,R877,690.0,493.0,713.0,43.5
The Brooklyn Academy for Law (Bldg 830),Brooklyn,K972,484.0,634.0,600.0,44.1
The Bronx Collegiate for Global Studies (Bldg 831),Bronx,X180,702.0,607.0,665.0,77.4
Global Studies Academy of Queens - Campus 832,Queens,Q784,698.0,516.0,494.0,98.9
Humanities High School of Bronx - Campus 833,Bronx,X905,435.0,677.0,489.0,
Medicine High School of Manhattan - Campus 834,Manhattan,M884,392.0,418.0,650.0,55.1
Arts Institute of Technology of Brooklyn - Campus 835,Brooklyn,K134,652.0,502.0,410.0,85.5
Global Studies Academy of Bronx - Campus 836,Bronx,X878,381.0,409.0,408.0,47.8
The Queens Collegiate for Business (Bldg 837),Queens,Q178,611.0,712.0,704.0,75.0
Arts Academy of Bronx - Campus 838,Bronx,X907,691.0,430.0,663.0,75.1
The Manhattan School for for Technology (Bldg 839),Manhattan,M611,680.0,694.0,469.0,46.5
The Bronx Institute of Technology for Medicine (Bldg 840),Bronx,X622,387.0,701.0,438.0,83.6
The Bronx Institute of Technology for Law (Bldg 841),Bronx,X219,691.0,585.0,527.0,87.3
Arts Institute of Technology of Queens - Campus 842,Queens,Q705,461.0,504.0,,43.8
Medicine High School of Queens - Campus 843,Queens,Q484,360.0,446.0,543.0,76.9
The Staten Island School for for Leadership (Bldg 844),Staten Island,R291,501.0,409.0,550.0,52.1
The Staten Island School for for Technology (Bldg 845),Staten Island,R299,650.0,646.0,730.0,77.0
The Staten Island Collegiate for Leadership (Bldg 846),Staten Island,R149,586.0,485.0,425.0,57.8
The Queens Academy for Leadership (Bldg 847),Queens,Q891,,563.0,495.0,90.3
Science School for of Brooklyn - Campus 848,Brooklyn,K341,664.0,571.0,609.0,84.4
The Staten Island Academy for Business (Bldg 849),Staten Island,R032,664.0,542.0,537.0,47.5
The Brooklyn Institute of Technology for Business (Bldg 850),Brooklyn,K562,479.0,605.0,399.0,85.5
The Brooklyn Institute of Technology for Arts (Bldg 851),Brooklyn,K316,415.0,580.0,664.0,53.3
The Brooklyn Academy for Mathematics (Bldg 852),Brooklyn,K957,767.0,546.0,394.0,97.8
The Staten Island Preparatory Academy for Humanities (Bldg 853),Staten Island,R710,740.0,602.0,395.0,47.1
Humanities Institute of Technology of Staten Island - Campus 854,Staten Island,R540,404.0,447.0,527.0,54.5
The Staten Island School for for Arts (Bldg 855),Staten Island,R286,409.0,479.0,586.0,
Arts Institute of Technology of Staten Island - Campus 856,Staten Island,R957,490.0,366.0,678.0,69.4
The Brooklyn High School for Business (Bldg 857),Brooklyn,K439,563.0,474.0,609.0,94.9
The Manhattan Institute of Technology for Humanities (Bldg 858),Manhattan,M743,592.0,645.0,,64.6
The Bronx Academy for Arts (Bldg 859),Bronx,X097,547.0,414.0,375.0,99.1
Medicine Academy of Manhattan - Campus 860,Manhattan,M488,600.0,541.0,447.0,42.9
Law High School of Staten Island - Campus 861,Staten Island,R050,482.0,,,95.1
The Manhattan Institute of Technology for Law (Bldg 862),Manhattan,M842,398.0,699.0,587.0,55.8
The Queens School for for Law (Bldg 863),Queens,Q596,453.0,446.0,583.0,62.0
The Bronx Preparatory Academy for Arts (Bldg 864),Bronx,X051,423.0,439.0,550.0,66.7
Business School for of Brooklyn - Campus 865,Brooklyn,K287,448.0,,366.0,80.9
The Staten Island Academy for Mathematics (Bldg 866),Staten Island,R206,524.0,725.0,411.0,50.4
The Staten Island School for for Business (Bldg 867),Staten Island,R370,626.0,686.0,650.0,94.9
Global Studies Academy of Manhattan - Campus 868,Manhattan,M633,508.0,599.0,650.0,64.6
Global Studies Academy of Brooklyn - Campus 869,Brooklyn,K232,516.0,442.0,620.0,47.7
The Queens Institute of Technology for Medicine (Bldg 870),Queens,Q302,507.0,496.0,651.0,42.2
The Brooklyn School for for Medicine (Bldg 871),Brooklyn,K082,415.0,497.0,593.0,58.0
Mathematics Collegiate of Staten Island - Campus 872,Staten Island,R576,765.0,401.0,473.0,56.0
Humanities School for of Bronx - Campus 873,Bronx,X475,,719.0,471.0,44.5
The Brooklyn Collegiate for Business (Bldg 874),Brooklyn,K404,763.0,755.0,748.0,57.5
Mathematics Institute of Technology of Bronx - Campus 875,Bronx,X509,706.0,748.0,575.0,56.8
The Bronx Institute of Technology for Humanities (Bldg 876),Bronx,X731,621.0,496.0,507.0,62.7
Technology School for of Manhattan - Campus 877,Manhattan,M857,650.0,740.0,625.0,85.1
The Manhattan High School for Mathematics (Bldg 878),Manhattan,M242,657.0,,,84.9
The Brooklyn Institute of Technology for Mathematics (Bldg 879),Brooklyn,K856,,661.0,715.0,52.6
The Manhattan Preparatory Academy for Leadership (Bldg 880),Manhattan,M879,439.0,674.0,637.0,82.2
The Queens Preparatory Academy for Law (Bldg 881),Queens,Q266,363.0,504.0,521.0,49.5
Leadership Institute of Technology of Queens - Campus 882,Queens,Q632,434.0,721.0,552.0,65.9
The Staten Island Preparatory Academy for Technology (Bldg 883),Staten Island,R259,686.0,492.0,678.0,75.0
The Manhattan Academy for Science (Bldg 884),Manhattan,M795,,432.0,477.0,
Leadership High School of Staten Island - Campus 885,Staten Island,R838,361.0,483.0,641.0,69.4
The Staten Island Institute of Technology for Business (Bldg 886),Staten Island,R772,565.0,499.0,,83.2
Business Academy of Staten Island - Campus 887,Staten Island,R367,491.0,433.0,655.0,81.8
Mathematics Preparatory Academy of Bronx - Campus 888,Bronx,X523,363.0,379.0,428.0,48.5
Leadership Academy of Brooklyn - Campus 889,Brooklyn,K695,467.0,452.0,713.0,49.7
The Bronx High School for Mathematics (Bldg 890),Bronx,X310,461.0,694.0,728.0,63.5
Leadership Academy of Manhattan - Campus 891,Manhattan,M821,433.0,638.0,536.0,90.6
The Manhattan School for for Science (Bldg 892),Manhattan,M600,,412.0,693.0,92.1
The Queens Collegiate for Business (Bldg 893),Queens,Q882,416.0,383.0,742.0,77.7
The Bronx School for for Medicine (Bldg 894),Bronx,X114,656.0,530.0,599.0,80.6
The Bronx School for for Medicine (Bldg 895),Bronx,X293,728.0,577.0,676.0,42.0
Leadership Academy of Bronx - Campus 896,Bronx,X104,418.0,637.0,527.0,71.6
The Brooklyn Academy for Mathematics (Bldg 897),Brooklyn,K151,,747.0,608.0,
The Manhattan Preparatory Academy for Business (Bldg 898),Manhattan,M999,660.0,626.0,716.0,57.6
Arts Academy of Staten Island - Campus 899,Staten Island,R298,674.0,723.0,548.0,55.7
